127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-button-state.html HTTP/1.1" 200 6047
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-behaviors/paper-ripple-behavior.html HTTP/1.1" 200 4074
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-validatable-behavior/iron-validatable-behavior.html HTTP/1.1" 200 4118
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-behaviors/iron-control-state.html HTTP/1.1" 200 3004
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-styles/paper-styles.html HTTP/1.1" 200 2203
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-addon-behavior.html HTTP/1.1" 200 1504
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-multi-selectable.html HTTP/1.1" 200 3310
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/polymer/polymer-micro.html HTTP/1.1" 200 17097
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-flex-layout.html HTTP/1.1" 200 5235
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-meta/iron-meta.html HTTP/1.1" 200 8401
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-styles/color.html HTTP/1.1" 200 10366
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/paper-styles/typography.html HTTP/1.1" 200 3808
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selectable.html HTTP/1.1" 200 8669
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-shadow-flex-layout.html HTTP/1.1" 200 5755
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/font-roboto/roboto.html HTTP/1.1" 200 738
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selection.html HTTP/1.1" 200 3273
127.0.0.1 - - [02/Feb/2017:07:58:20 +0200] "GET /archive/images/menoraLogo.png HTTP/1.1" 304 -
127.0.0.1 - - [02/Feb/2017:07:58:21 +0200] "POST /archive/j_security_check HTTP/1.1" 302 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/ HTTP/1.1" 200 1460
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/dataTables.material.min.js HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/moment.min.js HTTP/1.1" 200 33783
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/jquery-1.12.4.min.js HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/datatables.js HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/SoaArchiveClient/SoaArchiveClient.nocache.js HTTP/1.1" 200 2480
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/dataTables.checkboxes.min.js HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/shared-styles.html HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/datatime-moment.js HTTP/1.1" 404 -
127.0.0.1 - admin [02/Feb/2017:07:58:22 +0200] "GET /archive/datatime-moment.js HTTP/1.1" 404 -
127.0.0.1 - admin [02/Feb/2017:07:58:29 +0200] "GET /archive/material.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:29 +0200] "GET /archive/dataTables.material.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:29 +0200] "GET /archive/dataTables.checkboxes.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:31 +0200] "POST /archive/SoaArchiveService HTTP/1.1" 200 96
127.0.0.1 - admin [02/Feb/2017:07:58:34 +0200] "POST /archive/rest/soaarchive/incoming HTTP/1.1" 200 441484
127.0.0.1 - admin [02/Feb/2017:07:58:46 +0200] "GET /archive/material.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:46 +0200] "GET /archive/dataTables.material.min.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:46 +0200] "GET /archive/dataTables.checkboxes.css HTTP/1.1" 304 -
127.0.0.1 - admin [02/Feb/2017:07:58:46 +0200] "GET /archive/material.min.css.map HTTP/1.1" 404 -
127.0.0.1 - - [02/Feb/2017:07:59:56 +0200] "GET /archive/ HTTP/1.1" 200 2227
