127.0.0.1 - - [23/Aug/2017:08:25:22 +0300] "GET / HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/paper-styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-input/paper-input-addon-behavior.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selectable.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-meta/iron-meta.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-flex-layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/color.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/paper-styles/typography.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-selector/iron-selection.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/iron-flex-layout/classes/iron-shadow-flex-layout.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/SoaArchiveClient/bower_components/font-roboto/roboto.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:07 +0300] "GET /archive/images/menoraLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Aug/2017:08:40:08 +0300] "POST /archive/j_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:08 +0300] "GET /archive/ HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:09 +0300] "GET /archive/SoaArchiveClient/SoaArchiveClient.nocache.js HTTP/1.1" 200 2480
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:09 +0300] "GET /archive/shared-styles.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:13 +0300] "GET /archive/dataTables.checkboxes.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:13 +0300] "GET /archive/material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:13 +0300] "GET /archive/dataTables.material.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:15 +0300] "POST /archive/SoaArchiveService HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:17 +0300] "POST /archive/rest/soaarchive/incoming HTTP/1.1" 200 513960
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/ HTTP/1.1" 200 1531
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/info.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/xml.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - admin [23/Aug/2017:08:40:53 +0300] "GET /archive/images/error.png HTTP/1.1" 304 -
